"GAMA.ID.number","Calcium.mgpL","Magnesium.mgpL","Potassium.mgpL","Sodium.mgpL","SO4.mgpl","Cl.mgpl","HCO3.mgpl","CO3.mgpl","Ca.meq","Mg.meq","K.meq","Na.meq","SO4.meq","Cl.meq","HCO3.meq","CO3.meq","Ca.pct","Mg.pct","K.Na.pct","Unit","Ca.Mg.pct","SO4.Clj.pct","HCO3.CO3.pct","sym","label","Cl.pct","SO4.pct"
"SIERRA-SL-03",67.8,12.5,6.35,46.6,39.5,32.6,254,0,3.383233533,1.027960526,0.162404092,2.026086957,0.822402665,0.919345742,4.163251926,0,51.26355997,15.57590263,33.1605374,"S",66.8394626,29.49616103,70.50383897,3,3,15.5689363277806,13.9272247014791
"SIERRA-SL-04",4.43,1.26,6.59,252,187,47.4,398,15,0.221057884,0.103618421,0.168542199,10.95652174,3.893399958,1.336717428,6.523520734,0.5,1.930680343,0.904984907,97.16433475,"S",2.83566525,42.68215966,57.31784034,3,3,10.9087392242982,31.7734204313192
"SIERRA-SL-05",14.6,1.89,1.08,6.31,2.88,1.74,68,0,0.728542914,0.155427632,0.027621483,0.274347826,0.059962523,0.049069374,1.114571382,0,61.43169158,13.10586122,25.4624472,"S",74.5375528,8.910722881,91.08927712,3,3,4.01023557570901,4.9004872763176
"SIERRA-SL-06",13.4,4.93,1.49,9.45,0.81,0.56,95,0,0.668662675,0.405427632,0.038107417,0.410869565,0.01686446,0.015792442,1.557121783,0,43.90237252,26.6191543,29.47847318,"S",70.52152682,2.054179126,97.94582087,3,3,0.99337361539729,1.06080551708995
"SIERRA-SL-07",3.56,0.562,1.9,3.17,0.74,1.17,24,0,0.177644711,0.046217105,0.04859335,0.137826087,0.015407037,0.032994924,0.393378135,0,43.29827629,11.26473728,45.43698643,"S",54.56301357,10.95612083,89.04387917,3,3,7.46863072799006,3.48749007469997
"SIERRA-SL-08",7.56,7.8,0.24,7.07,2.97,0.79,78,0,0.377245509,0.641447368,0.006138107,0.307391304,0.061836352,0.022278624,1.278478938,0,28.31700926,48.14867411,23.53431663,"S",76.46568337,6.173150725,93.82684927,3,3,1.63501566909244,4.53813504997058
"SIERRA-SL-09",22,9.64,3.92,7.22,0.12,0.44,139,0,1.097804391,0.792763158,0.100255754,0.313913043,0.002498438,0.012408347,2.27831503,0,47.63253691,34.39713002,17.97033307,"S",82.02966693,0.650036809,99.34996319,3,3,0.541087954023322,0.108948815315539
"SIERRA-SL-10",3.9,0.63,0.58,3.98,0.31,0.22,29,0,0.194610778,0.051809211,0.01483376,0.173043478,0.006454299,0.006204174,0.475331913,0,44.81050452,11.92943618,43.2600593,"S",56.7399407,2.594000513,97.40599949,3,3,1.27137217822156,1.32262831096021
"SIERRA-SL-11",19.6,2.91,1.82,8.69,7.84,0.96,89,0,0.978043912,0.239309211,0.046547315,0.377826087,0.163231314,0.027072758,1.45877725,0,59.57410676,14.57667931,25.84921394,"S",74.15078606,11.54000529,88.45999471,3,3,1.64168726180018,9.89831804061874
"SIERRA-SL-12",31.6,17.5,1.94,14.3,6.53,3.75,209,0,1.576846307,1.439144737,0.049616368,0.62173913,0.135956694,0.105752961,3.425667923,0,42.76371339,39.0292781,18.20700851,"S",81.79299149,6.590803637,93.40919636,3,3,2.88361257467447,3.70719106796044
"SIERRA-SL-13",2.34,0.222,0.49,1.87,0.19,0.15,16,0,0.116766467,0.018256579,0.012531969,0.081304348,0.003955861,0.004230118,0.26225209,0,51.02105741,7.977204295,41.00173829,"S",58.99826171,3.026933075,96.97306692,3,3,1.56417253519141,1.46276040744841
"SIERRA-VL-01",88.4,23.4,5.39,103,88.5,50.8,444,0,4.411177645,1.924342105,0.137851662,4.47826087,1.842598376,1.432600113,7.277495493,0,40.27872313,17.57128121,42.14999566,"V",57.85000434,31.03661013,68.96338987,19,4,13.5756813894501,17.460928736709
"SIERRA-VL-02",19.1,13.2,4.42,6.75,0.44,0.99,149,0,0.953093812,1.085526316,0.113043478,0.293478261,0.009160941,0.027918782,2.442222586,0,38.97908032,44.39522836,16.62569132,"V",83.37430868,1.495570857,98.50442914,19,4,1.12607413378568,0.369496731671055
"SIERRA-VL-03",21.3,12.1,5.41,77.6,9.75,8.16,324,0,1.062874251,0.995065789,0.138363171,3.373913043,0.202998126,0.230118443,5.310604819,0,19.08138217,17.86404232,63.05457551,"V",36.94542449,7.540696009,92.45930399,19,4,4.00643463453454,3.53426136623046
"SIERRA-VL-04",16,6.19,3.12,9.29,7.52,2.33,100,0,0.798403194,0.509046053,0.079795396,0.403913043,0.156568811,0.06570784,1.639075561,0,44.57470159,28.4199463,27.0053521,"V",72.9946479,11.94167603,88.05832397,19,4,3.5301131927846,8.41156284074623
"SIERRA-VL-05",22.4,13.1,4.21,7.47,7.45,1.43,157,0,1.117764471,1.077302632,0.107672634,0.324782609,0.155111389,0.040327129,2.573348631,0,42.54062665,41.00070294,16.45867042,"V",83.54132958,7.0586328,92.9413672,19,4,1.45649076038817,5.60214204461406
"SIERRA-VL-06",9.33,7.3,4.66,54.9,12.1,6.2,190,0,0.465568862,0.600328947,0.119181586,2.386956522,0.25192588,0.174844896,3.114243567,0,13.03371167,16.80635249,70.15993584,"V",29.84006416,12.05221821,87.94778179,19,4,4.93770651750224,7.11451170758503
"SIERRA-VL-07",28.4,6.34,1.92,5.94,4.18,14.2,0,0,1.417165669,0.521381579,0.049104859,0.25826087,0.08702894,0.400451213,0,0,63.09975869,23.21468304,13.68555826,"V",86.31444174,100,0,19,4,82.147182923363,17.852817076637
"SIERRA-VL-08",14.8,9.35,2.51,5.86,0.18,0.56,0,0,0.738522954,0.768914474,0.064194373,0.254782609,0.003747658,0.015792442,0,0,40.43567276,42.09967188,17.46465536,"V",82.53534464,100,0,19,4,80.8206815727657,19.1793184272343
"SIERRA-VL-09",17,6.46,2.78,5.54,0.26,0.36,0,0,0.848303393,0.53125,0.071099744,0.240869565,0.005413283,0.010152284,0,0,50.15028127,31.40661365,18.44310508,"V",81.55689492,100,0,19,4,65.2227059894445,34.7772940105555
"SIERRA-VL-10",1.53,0.49,0.3,1.2,0,0.5,0,0,0.076347305,0.040296053,0.007672634,0.052173913,0,0.014100395,0,0,43.2587378,22.83193056,33.90933164,"V",66.09066836,100,0,19,4,100,0
"SIERRA-VL-11",16.3,4.32,1.41,9.31,6.17,1.45,0,0,0.813373253,0.355263158,0.036061381,0.404782609,0.128461378,0.040891145,0,0,50.53638758,22.07315837,27.39045405,"V",72.60954595,100,0,19,4,24.14557768354,75.85442231646
"SIERRA-VL-12",26.3,10.4,2.34,7.18,8.36,1.05,0,0,1.31237525,0.855263158,0.059846547,0.312173913,0.17405788,0.029610829,0,0,51.6752571,33.67630073,14.64844216,"V",85.35155784,100,0,19,4,14.5387227843625,85.4612772156375
